deltaT,dairy_network,no_of_reachable_nodes
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,881
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,1238
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,8
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,1840
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,2226
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,2448
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,11
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,25
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,2047
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,2306
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,2784
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,1604
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,2393
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,2653
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,535
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,1198
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,1574
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,2046
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,15
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,1342
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,2017
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,2510
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,2874
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,18
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,666
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,1726
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,1957
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,1127
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,2063
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,2290
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,10
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,13
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,960
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,1232
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,19
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,1340
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,1823
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,2529
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,3001
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,1372
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,1919
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,2478
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,3143
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,3533
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,315
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,457
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,1526
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,10
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,72
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,1890
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,2396
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,2801
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,3178
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,21
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,1223
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,1696
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,2083
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,2499
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,11
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,1225
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,1690
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,2161
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,1404
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,1696
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,2096
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,2547
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,2855
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,368
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,811
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,1350
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,11
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,1197
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,1534
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,2181
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,2602
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,3022
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,14
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,1150
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,1513
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,1888
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,17
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,653
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,1929
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,2475
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,3056
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,3507
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,1101
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,1613
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,1986
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,2316
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,67
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,1415
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,1977
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,2451
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,2748
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,1611
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,2001
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,2398
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,2772
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,1263
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,1584
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,2145
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,2365
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,11
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,465
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,1554
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,2157
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,15
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,333
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,1972
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,2438
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,2776
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,15
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,920
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,1858
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,2311
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,2731
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,3071
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,10
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,1093
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,1474
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,2112
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,12
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,721
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,1466
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,2164
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,2666
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,14
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,1366
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,1801
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,2154
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,37
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,1010
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,1519
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,2088
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,2442
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,13
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,2146
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,2622
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,2865
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,2402
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,2861
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,3146
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,1386
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,1787
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,2122
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,2367
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,1265
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,1523
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,2103
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,2425
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,319
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,1163
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,1293
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,1468
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,2307
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,2679
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,2971
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,7
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,507
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,1698
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_41.network,1900
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,105
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,1298
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,1787
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,2189
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_42.network,2524
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,196
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,1466
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,1795
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_43.network,1980
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,11
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,16
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,1446
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,1974
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_44.network,2303
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,1991
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,2255
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_45.network,2411
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,15
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,1025
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,1631
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,1970
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,2334
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,1
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,1
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,6
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,1442
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,1545
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,11
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,173
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,1135
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,2028
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,2549
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,2961
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,932
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,1569
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,2012
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,2221
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,3
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,2174
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,2415
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,2645
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,11
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,1037
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,1491
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,1910
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,15
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,42
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,1657
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,2238
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,2829
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,3277
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,1641
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,2066
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,2380
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,2724
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,51
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,660
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,1702
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,1966
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_54.network,2238
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,19
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,1469
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,2162
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,2509
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_55.network,2938
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,1671
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,2129
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,2503
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_56.network,2838
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,27
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,1486
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,1803
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_57.network,2030
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,785
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,931
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,1519
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,1903
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,12
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,213
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,892
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,1281
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,1553
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,7
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,1572
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,1770
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,1896
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_61.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_61.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_61.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_61.network,900
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_61.network,1656
