deltaT,dairy_network,no_of_reachable_nodes
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,19
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,1203
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,1784
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,2146
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,2399
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,2
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,2
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,2
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,2
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,1763
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,2218
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,2670
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,3001
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,35
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,1416
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,1951
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,2284
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,2703
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,13
