deltaT,dairy_network,no_of_reachable_nodes
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,17
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,1012
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,1533
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,1712
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,13
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,1016
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,1659
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,2155
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,2556
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,1808
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,2459
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,2988
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,3387
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,9
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,946
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,1314
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,1598
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,20
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,1984
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,2263
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,2660
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,903
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,1390
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,1737
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,1985
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,2234
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,33
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,1364
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,1758
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,1989
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,10
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,1308
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,1780
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_19.network,1960
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,14
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,126
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,954
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,1489
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,2039
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_20.network,2509
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,24
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,95
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,1877
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,2481
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,2951
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_21.network,3327
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,105
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,1312
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_22.network,1450
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,45
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,64
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,578
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,1703
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_23.network,2153
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,1096
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,1642
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,1910
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_24.network,2566
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,71
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,1495
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,2015
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,2497
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_25.network,2846
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,52
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,1764
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,1991
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_26.network,2392
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,1291
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,1948
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,2395
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_27.network,2686
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,1055
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,1707
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,2230
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_28.network,2944
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,15
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,1545
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,2056
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_29.network,2243
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,31
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,87
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,1880
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,2345
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,2785
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_30.network,3155
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,27
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,350
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,1074
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,1608
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,2105
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_31.network,2544
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,274
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,876
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,1704
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,2396
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_32.network,2765
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,15
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,981
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,1933
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,2461
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_33.network,2863
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,491
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,1288
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,1903
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_34.network,2072
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,45
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,1778
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,2404
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,2892
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_35.network,3187
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,11
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,1017
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,1437
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,2780
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_36.network,3000
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,7
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,1428
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,1967
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_37.network,2131
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,404
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,1736
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,2125
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_38.network,2346
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,14
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,1446
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,1758
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_39.network,1969
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,23
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,1632
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_40.network,2008
