deltaT,dairy_network,no_of_reachable_nodes
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_211.network,1273
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_211.network,1734
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_211.network,2246
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_211.network,2541
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_212.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_212.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_212.network,394
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_212.network,1545
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_212.network,1887
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_212.network,2105
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_213.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_213.network,21
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_213.network,1510
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_213.network,2120
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_213.network,2750
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_213.network,3144
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_214.network,17
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_214.network,104
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_214.network,1014
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_214.network,1708
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_214.network,2224
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_214.network,2674
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_215.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_215.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_215.network,1362
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_215.network,1660
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_215.network,1843
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_215.network,3060
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_216.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_216.network,10
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_216.network,15
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_216.network,1493
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_216.network,1907
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_216.network,2143
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_217.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_217.network,31
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_217.network,54
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_217.network,148
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_217.network,345
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_217.network,1357
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_218.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_218.network,107
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_218.network,1415
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_218.network,2150
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_218.network,2722
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_218.network,3225
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_219.network,10
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_219.network,16
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_219.network,1007
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_219.network,1501
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_219.network,2325
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_219.network,2694
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_220.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_220.network,20
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_220.network,986
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_220.network,1451
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_220.network,1845
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_220.network,2207
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_221.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_221.network,13
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_221.network,1779
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_221.network,2421
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_221.network,2883
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_221.network,3207
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_222.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_222.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_222.network,12
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_222.network,1518
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_222.network,1847
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_222.network,2047
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_223.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_223.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_223.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_223.network,7
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_223.network,7
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_223.network,1050
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_224.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_224.network,117
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_224.network,1035
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_224.network,1553
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_224.network,2003
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_224.network,2374
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_225.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_225.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_225.network,2
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_225.network,2
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_225.network,1939
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_225.network,2142
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_226.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_226.network,15
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_226.network,25
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_226.network,1342
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_226.network,2159
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_226.network,2444
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_227.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_227.network,19
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_227.network,1443
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_227.network,1862
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_227.network,2229
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_227.network,2610
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_228.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_228.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_228.network,20
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_228.network,1298
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_228.network,1456
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_228.network,1797
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_229.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_229.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_229.network,1055
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_229.network,1904
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_229.network,2341
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_229.network,2648
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_230.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_230.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_230.network,17
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_230.network,1184
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_230.network,1576
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_230.network,1726
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_231.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_231.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_231.network,7
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_231.network,1002
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_231.network,2101
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_231.network,2291
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_232.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_232.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_232.network,27
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_232.network,1698
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_232.network,1890
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_232.network,2061
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_233.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_233.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_233.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_233.network,14
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_233.network,508
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_233.network,2113
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_234.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_234.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_234.network,19
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_234.network,1992
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_234.network,2326
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_234.network,2519
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_235.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_235.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_235.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_235.network,1133
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_235.network,1571
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_235.network,1722
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_236.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_236.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_236.network,9
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_236.network,186
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_236.network,953
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_236.network,1383
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_237.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_237.network,52
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_237.network,331
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_237.network,825
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_237.network,1294
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_237.network,1536
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_238.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_238.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_238.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_238.network,1078
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_238.network,1326
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_238.network,1489
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_239.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_239.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_239.network,18
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_239.network,1302
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_239.network,1474
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_239.network,1872
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_240.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_240.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_240.network,760
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_240.network,1066
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_240.network,1454
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_240.network,1707
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_241.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_241.network,13
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_241.network,975
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_241.network,1436
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_241.network,2185
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_241.network,2453
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_242.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_242.network,13
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_242.network,900
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_242.network,1532
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_242.network,1803
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_242.network,2136
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_243.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_243.network,14
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_243.network,966
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_243.network,1306
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_243.network,1784
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_243.network,2264
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_244.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_244.network,53
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_244.network,103
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_244.network,1617
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_244.network,1934
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_244.network,2251
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_245.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_245.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_245.network,7
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_245.network,13
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_245.network,379
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_245.network,1026
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_246.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_246.network,32
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_246.network,770
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_246.network,2162
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_246.network,2618
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_246.network,2907
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_247.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_247.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_247.network,1138
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_247.network,1657
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_247.network,1982
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_247.network,2301
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_248.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_248.network,474
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_248.network,1331
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_248.network,2091
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_248.network,2590
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_248.network,3125
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_249.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_249.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_249.network,38
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_249.network,670
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_249.network,1209
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_249.network,1421
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_250.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_250.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_250.network,1281
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_250.network,1678
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_250.network,2100
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_250.network,2351
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_251.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_251.network,839
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_251.network,1563
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_251.network,2335
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_251.network,2832
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_251.network,3259
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_252.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_252.network,40
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_252.network,103
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_252.network,1363
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_252.network,2624
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_252.network,2985
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_253.network,11
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_253.network,68
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_253.network,1453
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_253.network,2133
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_253.network,2717
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_253.network,3240
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_254.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_254.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_254.network,235
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_254.network,778
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_254.network,1173
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_254.network,1425
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_255.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_255.network,15
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_255.network,1412
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_255.network,1904
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_255.network,2259
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_255.network,2593
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_256.network,17
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_256.network,38
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_256.network,1480
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_256.network,2006
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_256.network,2884
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_256.network,3306
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_257.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_257.network,14
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_257.network,1882
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_257.network,2644
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_257.network,3035
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_257.network,3350
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_258.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_258.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_258.network,1525
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_258.network,2034
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_258.network,2444
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_258.network,2842
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_259.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_259.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_259.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_259.network,5
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_259.network,1857
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_259.network,2119
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_260.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_260.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_260.network,8
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_260.network,119
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_260.network,1227
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_260.network,1688
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_261.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_261.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_261.network,3
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_261.network,1935
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_261.network,2253
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_261.network,2645
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_262.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_262.network,19
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_262.network,26
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_262.network,1678
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_262.network,2064
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_262.network,2390
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_263.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_263.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_263.network,8
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_263.network,1484
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_263.network,1778
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_263.network,1975
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_264.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_264.network,1
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_264.network,1
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_264.network,1
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_264.network,4
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_264.network,241
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_265.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_265.network,1
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_265.network,1
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_265.network,1419
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_265.network,2200
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_265.network,2384
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_266.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_266.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_266.network,30
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_266.network,1242
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_266.network,1854
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_266.network,2040
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_267.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_267.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_267.network,1353
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_267.network,1740
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_267.network,2109
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_267.network,2526
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_268.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_268.network,1
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_268.network,13
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_268.network,203
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_268.network,717
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_268.network,868
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_269.network,7
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_269.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_269.network,9
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_269.network,1513
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_269.network,1836
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_269.network,2074
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_270.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_270.network,9
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_270.network,14
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_270.network,1332
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_270.network,1839
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_270.network,2132
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_271.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_271.network,701
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_271.network,1366
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_271.network,2071
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_271.network,2558
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_271.network,3029
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_272.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_272.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_272.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_272.network,1227
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_272.network,1712
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_272.network,1915
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_273.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_273.network,186
