state,month,indeg,outdeg,pagerank
PA,May,194,55,0.045023192884208
WI,May,203,185,0.0930133663928582
VT,May,53,26,0.011641957365988885
OH,May,127,43,0.0626757434946453
TX,May,115,139,0.045331042007340255
NM,May,54,12,0.0196828318998761
SD,May,56,50,0.021260619749511232
MI,May,107,29,0.05196491938425725
OK,May,7,60,0.005271607880659509
IL,May,81,20,0.034342374144885376
IN,May,122,51,0.07425036665979168
CA,May,68,81,0.03610325489507233
AZ,May,38,8,0.017894313161631665
KS,May,48,91,0.01627471733645349
NE,May,25,13,0.009761288040896147
MA,May,20,0,0.0072733082581226734
MD,May,27,18,0.011638149005854713
CT,May,15,8,0.005583193527349306
ID,May,45,47,0.01990202817235178
MO,May,52,32,0.018623624810526998
CO,May,31,40,0.014646353678399287
UT,May,15,28,0.00906939883686351
ND,May,4,23,0.005276357598105158
GA,May,22,27,0.010880302736320797
FL,May,33,17,0.012075241440417318
VA,May,11,38,0.006732209012035889
OR,May,6,19,0.0065380025552701174
WA,May,30,20,0.013438553276359122
TN,May,5,52,0.005151349498037328
KY,May,36,18,0.01754506023615445
SC,May,2,12,0.004110713174932256
AR,May,0,13,0.0037066321408723655
NV,May,3,5,0.004843354812890594
MT,May,1,8,0.004066600794214011
WV,May,1,9,0.0037681836779858277
NJ,May,2,4,0.0038297352150992903
NC,May,5,11,0.004355701705768203
WY,May,3,1,0.004689104293663944
NH,May,1,1,0.0037681836779858277
ME,May,1,0,0.0037681836779858277
IA,June,196,418,0.10791866860220709
MN,June,377,126,0.11264639846733082
NY,June,46,419,0.030690587286748908
PA,June,186,51,0.04544891365934731
WI,June,196,178,0.09357464079351398
VT,June,52,25,0.011679800538412477
OH,June,119,39,0.06327443121987854
TX,June,109,135,0.04286601495671479
NM,June,52,12,0.018865625899145137
SD,June,55,49,0.021920380007482542
MI,June,102,28,0.05280063957561337
IL,June,78,19,0.034206337863028895
OK,June,7,57,0.005213376714551572
IN,June,119,49,0.07669698697929533
CA,June,63,79,0.03522492534563496
AZ,June,36,8,0.017143450883051498
KS,June,45,90,0.01553457134903044
NE,June,25,11,0.009964738546858453
MA,June,19,0,0.006623848358481897
MD,June,26,17,0.012128266191863362
CT,June,15,8,0.005657484456005747
ID,June,44,45,0.020706218764722156
MO,June,48,31,0.01761183311285598
CO,June,32,40,0.014881487788874432
UT,June,15,26,0.00930412404558659
ND,June,3,24,0.005280531335864534
GA,June,21,26,0.010592479479318446
FL,June,33,16,0.012244934584729899
VA,June,8,35,0.005706305970689272
OR,June,6,17,0.006697378060616516
WA,June,29,19,0.013817427161434904
TN,June,5,46,0.005157873099548767
KY,June,35,17,0.01709893006224773
AR,June,0,13,0.0036935499723686665
SC,June,2,11,0.004102103418113328
MT,June,1,7,0.004084701245483811
NV,June,3,4,0.004830670603609727
WV,June,0,8,0.0036935499723686665
NJ,June,2,4,0.0038180673457804733
NC,June,5,11,0.004368936354682153
WY,June,3,1,0.004717192608757615
NH,June,1,1,0.0037558086590745703
ME,June,1,0,0.0037558086590745703
IA,July,194,392,0.10789064308231869
MN,July,344,159,0.12178747308714627
WI,July,327,164,0.1456682193438265
NY,July,29,355,0.03274878539244826
PA,July,92,52,0.025407981448862665
VT,July,65,3,0.016865287995158604
NM,July,38,71,0.01579548957114276
TX,July,139,132,0.0477178221265107
SD,July,55,38,0.021487746239248647
IL,July,94,74,0.04842243696819923
OH,July,77,26,0.03852160832767668
MI,July,71,39,0.03929926302540592
CA,July,42,91,0.026796981025768964
AZ,July,42,12,0.01515122793744819
KS,July,72,59,0.027303261749170485
NE,July,23,45,0.010247802058974027
OK,July,17,33,0.00863937347350809
IN,July,73,28,0.041332356900534536
MA,July,15,4,0.005227485218576929
OR,July,10,21,0.007511963396840342
WA,July,25,21,0.011694015110024176
MO,July,43,13,0.017989764170557362
CO,July,47,46,0.022023814175571633
FL,July,40,26,0.02221945827039952
ID,July,30,20,0.015965674118273238
GA,July,18,11,0.010446029697309095
KY,July,13,42,0.0090472327145763
MD,July,13,11,0.0065058873951817486
UT,July,13,19,0.009074441342406984
TN,July,21,31,0.010357925012360717
ND,July,0,14,0.003465089806946686
NV,July,4,2,0.004466425380812465
VA,July,7,3,0.005187017806633573
NJ,July,5,3,0.004194057464848394
SC,July,1,20,0.0035435020633687556
ME,July,4,4,0.003778738832634965
NC,July,10,0,0.00697533020482369
AR,July,1,13,0.003772388526855968
CT,July,1,11,0.0035435020633687556
NH,July,2,1,0.0036219143197908253
WV,July,3,7,0.004037232952004255
MT,July,0,1,0.003465089806946686
WY,July,1,1,0.0038720807816444262
AL,July,0,1,0.003465089806946686
MS,July,0,2,0.003465089806946686
IA,August,195,394,0.1077378409569244
MN,August,345,160,0.12127830265222231
WI,August,328,164,0.14576721894175768
NY,August,28,355,0.03218693858503295
PA,August,91,53,0.02562250105086108
VT,August,64,3,0.016858720631602663
NM,August,40,72,0.01688164249386335
TX,August,141,133,0.048192620795208044
SD,August,56,40,0.02157913331846548
IL,August,95,74,0.048619098424832315
OH,August,77,26,0.03856748748460659
MI,August,73,39,0.03962862051244603
CA,August,42,88,0.025659689987878053
AZ,August,42,14,0.015098987460262208
KS,August,75,59,0.02894607338150409
NE,August,24,45,0.010284874517189317
OK,August,16,33,0.008399540756053332
IN,August,73,28,0.041103251945709005
MA,August,16,4,0.005618670700288179
OR,August,9,21,0.007244689060009929
WA,August,26,21,0.011831499539326546
MO,August,42,13,0.01785432201739048
CO,August,46,47,0.021610481884071466
FL,August,40,25,0.02223317135019205
ID,August,30,21,0.015906796032338858
GA,August,18,11,0.010580641400421392
KY,August,13,41,0.009008516139114358
MD,August,13,10,0.006467430160235979
UT,August,12,18,0.008620228968485601
TN,August,21,32,0.01042177692564955
ND,August,0,15,0.0034624265998381195
NV,August,4,2,0.004453939440476226
VA,August,6,3,0.004752176017111336
NJ,August,5,3,0.004181616676225872
SC,August,1,22,0.0035394934761868637
ME,August,4,4,0.0037706941052330976
NC,August,10,0,0.0068343373066679335
AR,August,1,13,0.0037704499328808537
CT,August,1,11,0.0035394934761868637
NH,August,2,1,0.0036165603525356083
WV,August,3,6,0.004027482923528383
MT,August,0,1,0.0034624265998381195
WY,August,1,1,0.003853281819670934
AL,August,0,1,0.0034624265998381195
MS,August,0,2,0.0034624265998381195
IA,September,190,381,0.10860121039774556
MN,September,330,155,0.12171389281079317
WI,September,317,160,0.1469267828037036
NY,September,26,342,0.03233912585131973
PA,September,89,46,0.026421797545552492
VT,September,62,3,0.016592453509976242
NM,September,37,70,0.015965530869353463
TX,September,136,128,0.04830012930310568
SD,September,55,38,0.02205506952211773
IL,September,91,72,0.04911822322342687
OH,September,75,25,0.03891781143745204
MI,September,70,38,0.03995419645734259
CA,September,38,85,0.025810467541687473
AZ,September,40,11,0.01491987138150809
KS,September,70,58,0.027409137214267968
NE,September,23,43,0.010436400389432875
OK,September,16,33,0.00848928264754139
IN,September,68,28,0.04006204423979427
OR,September,8,20,0.007000015717345608
WA,September,23,18,0.01118483599503335
MA,September,14,4,0.005138355666075203
MO,September,41,13,0.018096569241926028
CO,September,44,44,0.021649195816621912
ID,September,28,20,0.015863082745077903
FL,September,40,25,0.02291760189764004
GA,September,18,11,0.01089808000606139
KY,September,11,37,0.008816591566649804
MD,September,12,10,0.006442243595642135
UT,September,12,15,0.008839356613133417
TN,September,21,30,0.01078251464687437
ND,September,0,13,0.0034384956615971804
NV,September,4,1,0.004471022441414172
VA,September,6,2,0.0046852707078294965
SC,September,1,19,0.0035188703678195807
NJ,September,5,3,0.004248219484584412
ME,September,4,3,0.0037599944864867814
CT,September,1,11,0.0035188703678195807
AR,September,1,12,0.0037592609619098373
NC,September,8,0,0.0055674035824953925
NH,September,2,1,0.003599245074041981
WV,September,2,7,0.003599245074041981
MT,September,0,1,0.0034384956615971804
WY,September,1,1,0.0038567441509655526
AL,September,0,1,0.0034384956615971804
MS,September,0,2,0.0034384956615971804
NY,October,24,387,0.0272274643686949
PA,October,88,24,0.022343168162763327
VT,October,69,6,0.008642577351311083
MN,October,79,107,0.0533811039063077
IA,October,200,114,0.11774814494880852
